prem	hyp	label	annotated_label	lexical_linguistic	syntactic_linguistic	factivity_linguistic	negation_logic	boolean_logic	quantifier_logic	conditional_logic	comparative_logic	relational_reasoning	spatial_reasoning	temporal_reasoning	causal_reasoning	coreference_reasoning	world_knowledge	taxonomic_knowledge	general_q2	subject_q2	object_q2	pairID	genre
and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	Even if you're correct, I think the jury would pick up on that.	contradiction	neutral	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-	-	-	53438c	telephone
Radar reconstructions performed after 9/11 reveal that FAA radar equipment tracked the flight from the moment its transponder was turned off at 8:56.	The flight was tracked by the radar before the tragedy.	entailment	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-	-	-	26374e	nineeleven
Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.	Parents who require their kids to experience new things while still being kind towards them encourage their kids to be less adaptive.	contradiction	contradiction	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	-	-	82741c	oup
We hope you had an opportunity to read about Robert and his time at the Club before the letter became lost in the numerous pieces of mail one receives over the holidays.	We hope you read about Robert and his experience at the Club before he passed away.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	18809n	letters
uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music	Most of my CDs are songs of birds dying in the wild. 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	143760c	telephone
The main funding source for Maryland's legal services to the poor has fallen on hard times, and advocates are preparing to seek unprecedented state financial help - even as they keep an eye on a legal challenge that threatens to cut off a main source of funding for such services nationwide.	Nationwide legal services have a surplus of funding from both state and local governments. 	contradiction	contradiction	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	8005c	government
Even if auditors do not follow such other standards and methodologies, they may still serve as a useful source of guidance to auditors in planning their work under GAGAS.	Auditors should ignore them when they follow other standards and methodologies.	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	84055c	government
The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system.	The AMS system is the most popular hot dog stand outside of the Pentagon.	contradiction	neutral	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	-	-	-	19884c	government
Uh, well, would you care to relate the story to me now?	Are you able to relate to the tale about me?	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	27326e	facetoface
Summer boasts long, warm days with strong sunlight and hazy views.	The days are long and warm during the Summer.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	99037e	travel
Don't forget to take a change of clothing and a towel.	Don't replace your clothing and towel.	contradiction	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	125700c	travel
David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.	Music Professor David Cope says he has created Mozart's 42nd symphony.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	12562e	slate
This formal Review Process guarantees representatives of every designated state planning body the right to direct communication with LSC officials at the highest level in seeking reconsideration of an LSC decision.	The formal Review Process guarantees that not a single representative of any designated state planning body the right to direct communication.	contradiction	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-	-	-	141367c	government
When he's ready for a major strike, how many innocents do you suppose are going to suffer? To quote one of your contemporaries; 'The needs of the many outweigh the needs of the few.' '	He won't do a big strike because of the innocent people.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	144753c	fiction
actually i listened to one time i remember it's this is back when rap even uh i would say about ten or fifteen years ago i	I listen to wrap everyday and has been my favorite genre for 15 years. 	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-	-	-	38064c	telephone
Each narrative focused on a relatively exceptional personal experience.	The narratives were based on common occurrences.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	16801c	oup
Seventy-two churches in Britain were named for Cuthbert.	Cuthbert has over seventy churches named after him in Britain.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	56304e	verbatim
