	Unnamed: 0	prem	hyp	label	lexical_linguistic	syntactic_linguistic	factivity_linguistic	negation_logic	boolean_logic	quantifier_logic	conditional_logic	comparative_logic	relational_reasoning	spatial_reasoning	temporal_reasoning	causal_reasoning	coreference_reasoning	world_knowledge	taxonomic_knowledge	pairID	genre	s1	s2	bag_of_words	aloxatel/bert-base-mnli	esim
0	0	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	Even if you're correct, I think the jury would pick up on that.	contradiction	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	53438c	telephone	and that you're very much right but the jury may or may not see it that way so you get a little anticipate you know anxious there and go well you know	Even if you're correct, I think the jury would pick up on that.	neutral	entailment	entailment
1	1	Radar reconstructions performed after 9/11 reveal that FAA radar equipment tracked the flight from the moment its transponder was turned off at 8:56.	The flight was tracked by the radar before the tragedy.	entailment	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	26374e	nineeleven	Radar reconstructions performed after 9/11 reveal that FAA radar equipment tracked the flight from the moment its transponder was turned off at 8:56.	The flight was tracked by the radar before the tragedy.	entailment	entailment	entailment
2	2	Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.	Parents who require their kids to experience new things while still being kind towards them encourage their kids to be less adaptive.	contradiction	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	82741c	oup	Instead, parents who warmly, but consistently and assertively, require their inhibited child to try new experiences and guide and support them in doing so actually reduce the child's physiological stress reactions, fostering a more adaptive style in the child.	Parents who require their kids to experience new things while still being kind towards them encourage their kids to be less adaptive.	neutral	contradiction	entailment
3	3	We hope you had an opportunity to read about Robert and his time at the Club before the letter became lost in the numerous pieces of mail one receives over the holidays.	We hope you read about Robert and his experience at the Club before he passed away.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18809n	letters	We hope you had an opportunity to read about Robert and his time at the Club before the letter became lost in the numerous pieces of mail one receives over the holidays.	We hope you read about Robert and his experience at the Club before he passed away.	entailment	entailment	contradiction
4	4	uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music	Most of my CDs are songs of birds dying in the wild. 	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143760c	telephone	uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music	Most of my CDs are songs of birds dying in the wild. 	neutral	contradiction	neutral
5	5	The main funding source for Maryland's legal services to the poor has fallen on hard times, and advocates are preparing to seek unprecedented state financial help - even as they keep an eye on a legal challenge that threatens to cut off a main source of funding for such services nationwide.	Nationwide legal services have a surplus of funding from both state and local governments. 	contradiction	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	8005c	government	The main funding source for Maryland's legal services to the poor has fallen on hard times, and advocates are preparing to seek unprecedented state financial help - even as they keep an eye on a legal challenge that threatens to cut off a main source of funding for such services nationwide.	Nationwide legal services have a surplus of funding from both state and local governments. 	neutral	neutral	neutral
6	6	Even if auditors do not follow such other standards and methodologies, they may still serve as a useful source of guidance to auditors in planning their work under GAGAS.	Auditors should ignore them when they follow other standards and methodologies.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	84055c	government	Even if auditors do not follow such other standards and methodologies, they may still serve as a useful source of guidance to auditors in planning their work under GAGAS.	Auditors should ignore them when they follow other standards and methodologies.	contradiction	contradiction	contradiction
7	7	The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system.	The AMS system is the most popular hot dog stand outside of the Pentagon.	contradiction	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	19884c	government	The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system.	The AMS system is the most popular hot dog stand outside of the Pentagon.	neutral	neutral	neutral
8	8	Uh, well, would you care to relate the story to me now?	Are you able to relate to the tale about me?	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27326e	facetoface	Uh, well, would you care to relate the story to me now?	Are you able to relate to the tale about me?	entailment	entailment	entailment
9	9	Summer boasts long, warm days with strong sunlight and hazy views.	The days are long and warm during the Summer.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	99037e	travel	Summer boasts long, warm days with strong sunlight and hazy views.	The days are long and warm during the Summer.	entailment	entailment	entailment
10	10	Don't forget to take a change of clothing and a towel.	Don't replace your clothing and towel.	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	125700c	travel	Don't forget to take a change of clothing and a towel.	Don't replace your clothing and towel.	entailment	entailment	entailment
11	11	David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.	Music Professor David Cope says he has created Mozart's 42nd symphony.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12562e	slate	David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.	Music Professor David Cope says he has created Mozart's 42nd symphony.	contradiction	entailment	entailment
12	12	This formal Review Process guarantees representatives of every designated state planning body the right to direct communication with LSC officials at the highest level in seeking reconsideration of an LSC decision.	The formal Review Process guarantees that not a single representative of any designated state planning body the right to direct communication.	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	141367c	government	This formal Review Process guarantees representatives of every designated state planning body the right to direct communication with LSC officials at the highest level in seeking reconsideration of an LSC decision.	The formal Review Process guarantees that not a single representative of any designated state planning body the right to direct communication.	entailment	contradiction	contradiction
13	13	When he's ready for a major strike, how many innocents do you suppose are going to suffer? To quote one of your contemporaries; 'The needs of the many outweigh the needs of the few.' '	He won't do a big strike because of the innocent people.	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	144753c	fiction	When he's ready for a major strike, how many innocents do you suppose are going to suffer? To quote one of your contemporaries; 'The needs of the many outweigh the needs of the few.' '	He won't do a big strike because of the innocent people.	neutral	contradiction	contradiction
14	14	actually i listened to one time i remember it's this is back when rap even uh i would say about ten or fifteen years ago i	I listen to wrap everyday and has been my favorite genre for 15 years. 	contradiction	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	38064c	telephone	actually i listened to one time i remember it's this is back when rap even uh i would say about ten or fifteen years ago i	I listen to wrap everyday and has been my favorite genre for 15 years. 	neutral	neutral	neutral
15	15	Each narrative focused on a relatively exceptional personal experience.	The narratives were based on common occurrences.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16801c	oup	Each narrative focused on a relatively exceptional personal experience.	The narratives were based on common occurrences.	contradiction	contradiction	contradiction
16	16	Seventy-two churches in Britain were named for Cuthbert.	Cuthbert has over seventy churches named after him in Britain.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	56304e	verbatim	Seventy-two churches in Britain were named for Cuthbert.	Cuthbert has over seventy churches named after him in Britain.	neutral	entailment	neutral
17	17	A proportionately large number of you responded to that survey.	Not a one of you participated in the study.	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	26077c	letters	A proportionately large number of you responded to that survey.	Not a one of you participated in the study.	entailment	contradiction	contradiction
18	18	Citing conservative critics of Brown vs.	Conservative critics did not write about the Brown case.	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2394c	slate	Citing conservative critics of Brown vs.	Conservative critics did not write about the Brown case.	contradiction	contradiction	contradiction
19	19	 the evidence in the published work is quite thin	The work is widely regarded to be historically accurate.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	33961c	verbatim	 the evidence in the published work is quite thin	The work is widely regarded to be historically accurate.	neutral	neutral	contradiction
20	20	The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.	Bush authorized the military to help in Somalia for humanitarian reasons.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17932e	nineeleven	The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.	Bush authorized the military to help in Somalia for humanitarian reasons.	entailment	entailment	entailment
21	21	okay and and i think we just hang up i don't think we have to do anything else	We don't have to do anything else but put the phone down, I think. 	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19668n	telephone	okay and and i think we just hang up i don't think we have to do anything else	We don't have to do anything else but put the phone down, I think. 	contradiction	entailment	neutral
22	22	made by the FCIC based on such comments are discussed in the preambles to the final rules.	Discussed in the preamble are comments based on FCIC.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	42164e	government	made by the FCIC based on such comments are discussed in the preambles to the final rules.	Discussed in the preamble are comments based on FCIC.	entailment	entailment	entailment
